message_length,rsa_key_length,sample_size,execution_time,speed,current_memory_usage,peak_memory_usage
1,8,5,Failed,Failed,Failed,Failed
1,8,10,Failed,Failed,Failed,Failed
1,8,25,Failed,Failed,Failed,Failed
1,8,50,Failed,Failed,Failed,Failed
1,8,100,Failed,Failed,Failed,Failed
1,16,5,Failed,Failed,Failed,Failed
1,16,10,Failed,Failed,Failed,Failed
1,16,25,Failed,Failed,Failed,Failed
1,16,50,Failed,Failed,Failed,Failed
1,16,100,Failed,Failed,Failed,Failed
1,32,5,Failed,Failed,Failed,Failed
1,32,10,Failed,Failed,Failed,Failed
1,32,25,Failed,Failed,Failed,Failed
1,32,50,Failed,Failed,Failed,Failed
1,32,100,Failed,Failed,Failed,Failed
1,64,5,Failed,Failed,Failed,Failed
1,64,10,Failed,Failed,Failed,Failed
1,64,25,Failed,Failed,Failed,Failed
1,64,50,Failed,Failed,Failed,Failed
1,64,100,Failed,Failed,Failed,Failed
1,128,5,Failed,Failed,Failed,Failed
1,128,10,Failed,Failed,Failed,Failed
1,128,25,Failed,Failed,Failed,Failed
1,128,50,Failed,Failed,Failed,Failed
1,128,100,Failed,Failed,Failed,Failed
1,256,5,1.126953125,0.8873483535528596,14.063242,14.33873
1,256,10,1.1135213375091553,0.8980519423515565,0.324354,0.626039
1,256,25,1.060992956161499,0.9425133260241786,0.186323,0.578999
1,256,50,Failed,Failed,Failed,Failed
1,256,100,Failed,Failed,Failed,Failed
1,512,5,1.1081609725952148,0.9023959738070261,0.420165,0.772241
1,512,10,1.0230388641357422,0.9774799717357705,0.183662,0.555588
1,512,25,1.1375908851623535,0.8790506438149626,0.203455,0.535772
1,512,50,Failed,Failed,Failed,Failed
1,512,100,Failed,Failed,Failed,Failed
1,1024,5,1.2824978828430176,0.7797283826958206,0.352687,0.755545
1,1024,10,1.3913028240203857,0.7187507872012684,0.225334,0.518718
1,1024,25,1.3684139251708984,0.7307730370217564,0.183446,0.559275
1,1024,50,Failed,Failed,Failed,Failed
1,1024,100,Failed,Failed,Failed,Failed
1,2048,5,3.410560131072998,0.2932069694034069,0.294144,0.661174
1,2048,10,4.12785792350769,0.2422563999369047,0.222157,0.570277
1,2048,25,4.0990400314331055,0.24395955939234393,0.303474,0.581456
1,2048,50,Failed,Failed,Failed,Failed
1,2048,100,Failed,Failed,Failed,Failed
1,4096,5,33.647382497787476,0.02971999382316756,0.457491,0.80246
1,4096,10,62.94709396362305,0.01588635689167632,0.231583,0.56609
1,4096,25,104.81089854240417,0.00954099252946889,0.190711,0.567278
1,4096,50,Failed,Failed,Failed,Failed
1,4096,100,Failed,Failed,Failed,Failed
2,8,5,Failed,Failed,Failed,Failed
2,8,10,Failed,Failed,Failed,Failed
2,8,25,Failed,Failed,Failed,Failed
2,8,50,Failed,Failed,Failed,Failed
2,8,100,Failed,Failed,Failed,Failed
2,16,5,Failed,Failed,Failed,Failed
2,16,10,Failed,Failed,Failed,Failed
2,16,25,Failed,Failed,Failed,Failed
2,16,50,Failed,Failed,Failed,Failed
2,16,100,Failed,Failed,Failed,Failed
2,32,5,Failed,Failed,Failed,Failed
2,32,10,Failed,Failed,Failed,Failed
2,32,25,Failed,Failed,Failed,Failed
2,32,50,Failed,Failed,Failed,Failed
2,32,100,Failed,Failed,Failed,Failed
2,64,5,Failed,Failed,Failed,Failed
2,64,10,Failed,Failed,Failed,Failed
2,64,25,Failed,Failed,Failed,Failed
2,64,50,Failed,Failed,Failed,Failed
2,64,100,Failed,Failed,Failed,Failed
2,128,5,Failed,Failed,Failed,Failed
2,128,10,Failed,Failed,Failed,Failed
2,128,25,Failed,Failed,Failed,Failed
2,128,50,1.455632209777832,1.3739734436800164,1.400029,2.006047
2,128,100,Failed,Failed,Failed,Failed
2,256,5,1.4133210182189941,1.4151066701889945,0.560813,1.120893
2,256,10,1.376460313796997,1.4530022986881144,0.283637,0.915395
2,256,25,1.3850986957550049,1.443940425422044,0.415824,0.947492
2,256,50,1.387282133102417,1.441667813833474,0.303168,0.896462
2,256,100,Failed,Failed,Failed,Failed
2,512,5,1.5233514308929443,1.3128946869650808,0.361352,1.003658
2,512,10,1.5091278553009033,1.3252687590218937,0.292727,0.915171
2,512,25,1.4608938694000244,1.3690248428664988,0.390706,0.900207
2,512,50,1.5807621479034424,1.2652124816200785,0.268858,0.926854
2,512,100,Failed,Failed,Failed,Failed
2,1024,5,1.5446040630340576,1.2948302078601364,0.477355,1.09861
2,1024,10,1.637500286102295,1.2213738324043626,0.309296,0.892241
2,1024,25,2.0316312313079834,0.9844306236188253,0.297861,0.88159
2,1024,50,1.9013102054595947,1.0519062035521707,0.344326,0.907993
2,1024,100,Failed,Failed,Failed,Failed
2,2048,5,2.4825947284698486,0.8056087355154835,0.527368,1.087187
2,2048,10,1.7721912860870361,1.1285463458157279,0.361707,0.954706
2,2048,25,7.23089599609375,0.27659089566222955,0.294509,0.870985
2,2048,50,3.6912360191345215,0.5418239282539665,0.363359,0.963939
2,2048,100,Failed,Failed,Failed,Failed
2,4096,5,27.952295780181885,0.07155047355423291,0.557311,1.102999
2,4096,10,33.1996214389801,0.06024165075725153,0.364351,0.951592
2,4096,25,110.41588234901428,0.018113336210801512,0.290454,0.931875
2,4096,50,10.832072496414185,0.18463687356801514,0.272817,0.88191
2,4096,100,Failed,Failed,Failed,Failed
3,8,5,Failed,Failed,Failed,Failed
3,8,10,Failed,Failed,Failed,Failed
3,8,25,Failed,Failed,Failed,Failed
3,8,50,Failed,Failed,Failed,Failed
3,8,100,Failed,Failed,Failed,Failed
3,16,5,Failed,Failed,Failed,Failed
3,16,10,Failed,Failed,Failed,Failed
3,16,25,Failed,Failed,Failed,Failed
3,16,50,Failed,Failed,Failed,Failed
3,16,100,Failed,Failed,Failed,Failed
3,32,5,Failed,Failed,Failed,Failed
3,32,10,Failed,Failed,Failed,Failed
3,32,25,Failed,Failed,Failed,Failed
3,32,50,Failed,Failed,Failed,Failed
3,32,100,Failed,Failed,Failed,Failed
3,64,5,Failed,Failed,Failed,Failed
3,64,10,Failed,Failed,Failed,Failed
3,64,25,Failed,Failed,Failed,Failed
3,64,50,Failed,Failed,Failed,Failed
3,64,100,Failed,Failed,Failed,Failed
3,128,5,Failed,Failed,Failed,Failed
3,128,10,Failed,Failed,Failed,Failed
3,128,25,Failed,Failed,Failed,Failed
3,128,50,Failed,Failed,Failed,Failed
3,128,100,1.7396252155303955,1.7245093789269592,0.456861,2.378465
3,256,5,Failed,Failed,Failed,Failed
3,256,10,Failed,Failed,Failed,Failed
3,256,25,1.707571268081665,1.7568812828352909,1.001386,1.85237
3,256,50,1.7010645866394043,1.7636014667301678,0.431451,1.22681
3,256,100,Failed,Failed,Failed,Failed
3,512,5,2.136262893676758,1.4043215415480301,0.693952,1.558107
3,512,10,1.819911003112793,1.6484322556810589,0.386028,1.237493
3,512,25,1.672346830368042,1.7938862594308709,0.411685,1.240603
3,512,50,1.8652873039245605,1.6083313244495936,0.495406,1.306952
3,512,100,Failed,Failed,Failed,Failed
3,1024,5,3.091735363006592,0.9703288437606178,0.708969,1.553226
3,1024,10,2.185149669647217,1.3729036695616084,0.369265,1.233163
3,1024,25,2.2556419372558594,1.3299983257314778,0.425983,1.273583
3,1024,50,3.0898661613464355,0.9709158401517056,0.370831,1.257655
3,1024,100,Failed,Failed,Failed,Failed
3,2048,5,4.529942750930786,0.6622600251147936,0.683119,1.553387
3,2048,10,3.385382652282715,0.8861627497196345,0.426986,1.314368
3,2048,25,2.689068555831909,1.1156279349939813,0.419352,1.27479
3,2048,50,5.955490589141846,0.5037368383168387,0.512726,1.286488
3,2048,100,Failed,Failed,Failed,Failed
3,4096,5,22.390044927597046,0.13398811881356806,0.486794,1.365468
3,4096,10,22.989027500152588,0.13049703820573044,0.477096,1.276832
3,4096,25,28.048113584518433,0.10695906485689269,0.459193,1.268818
3,4096,50,36.70189547538757,0.08173964753432997,0.431541,1.206959
3,4096,100,Failed,Failed,Failed,Failed
4,8,5,Failed,Failed,Failed,Failed
4,8,10,Failed,Failed,Failed,Failed
4,8,25,Failed,Failed,Failed,Failed
4,8,50,Failed,Failed,Failed,Failed
4,8,100,Failed,Failed,Failed,Failed
4,16,5,Failed,Failed,Failed,Failed
4,16,10,Failed,Failed,Failed,Failed
4,16,25,Failed,Failed,Failed,Failed
4,16,50,Failed,Failed,Failed,Failed
4,16,100,Failed,Failed,Failed,Failed
4,32,5,Failed,Failed,Failed,Failed
4,32,10,Failed,Failed,Failed,Failed
4,32,25,Failed,Failed,Failed,Failed
4,32,50,Failed,Failed,Failed,Failed
